,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
ffjesf,6,5,1,3,6,6,7,5,4,5
fggcxz,7,5,1,4,5,5,2,3,3,2
fibcnv,5,5,3,5,7,7,5,3,5,2
fjambo,7,6,3,2,6,6,6,6,6,5
fjbvgc,5,6,2,4,5,5,4,3,4,7
fjqfdp,7,6,3,7,7,6,5,6,6,6
fjufyn,6,4,2,5,7,7,5,5,6,3
flapjg,7,7,7,7,7,7,7,7,7,7
flglki,3,4,6,5,5,6,2,5,7,5
fpzstz,5,5,3,5,3,6,6,5,3,4
frwzje,3,6,6,5,5,5,5,6,5,3
fslsyy,5,6,6,5,6,5,6,5,6,3
fulzff,5,5,3,3,6,5,3,5,6,6
fxxrqq,7,6,2,5,6,6,5,3,3,5
fyukrj,5,5,3,3,6,6,6,5,7,3
fzvqkg,5,1,1,2,6,6,2,5,3,7
gcibtt,6,6,3,2,6,6,6,5,4,6
gckgau,6,3,1,4,3,3,5,6,4,6
gegbqe,6,6,6,6,2,3,7,6,5,6
gflmfv,7,7,6,6,7,7,6,6,7,7
giqzdt,7,7,1,1,7,7,7,6,6,7
gjcqxs,6,5,2,2,6,6,5,5,5,3
glolxh,5,3,2,7,5,5,5,5,2,4
gnmpev,2,6,2,6,4,4,3,4,5,3
gqlonv,6,5,3,3,6,6,5,6,5,2
gqusld,3,2,1,2,7,6,2,4,2,2
gquwbk,6,7,5,7,7,7,5,7,7,7
gtndmy,5,5,5,5,5,6,5,3,5,3
gtnhln,2,2,5,3,3,6,2,2,5,6
gulupd,6,5,5,5,6,5,5,5,6,6
guvxpc,7,3,5,2,7,7,7,7,7,5
guwznl,6,6,6,5,6,5,6,5,5,6
gvajcf,6,3,3,3,5,5,3,5,5,3
gxyjid,6,5,5,7,3,7,6,5,6,3
gzyjre,1,1,1,1,1,1,1,1,1,1
hadzmn,7,2,2,3,7,7,7,5,5,4
haudtb,7,7,3,4,7,7,5,5,7,3
hbsgzy,7,4,1,7,1,1,1,4,1,4
hddnwm,5,7,3,7,6,6,4,2,3,4
hdhvbm,7,7,1,1,5,2,6,6,7,7
hezsxd,7,4,3,5,7,5,3,3,6,6
hfwkvd,7,5,1,7,7,7,7,7,7,1
hihory,7,5,2,1,7,7,6,6,6,5
hjpfnb,5,6,2,1,6,6,5,5,5,3
hkyksz,7,6,6,7,6,7,6,6,7,6
hlwcwz,5,7,2,3,6,5,3,3,2,2
hmwwlw,7,7,1,2,7,7,7,7,5,1
hroabx,7,6,4,2,7,7,6,6,7,6
hscrcc,6,7,3,1,7,7,6,7,6,3
hseiel,6,4,2,6,6,5,4,2,4,7
hszcix,5,5,5,5,5,6,5,5,6,5
htdgvb,6,5,6,6,6,5,5,5,5,5
htnftg,6,7,3,3,6,6,7,5,6,3
htxncz,7,7,2,1,6,6,7,6,6,2
hvckmw,6,6,6,6,2,7,7,6,2,7
hybrju,7,6,5,3,7,7,6,5,3,7
iamyvk,6,6,4,6,6,3,5,6,4,6
iaoads,6,5,5,5,6,7,6,5,7,6
ibedrh,5,5,5,5,5,6,6,5,6,5
ibyyer,7,6,1,6,7,7,4,6,5,2
icfhdu,2,6,2,6,2,6,5,7,4,7
icogvc,5,7,2,7,7,7,6,6,7,7
icovxq,7,5,3,4,7,7,7,7,7,6
ictkon,6,3,3,2,7,7,3,4,6,3
idpwtf,7,7,3,7,7,7,6,6,5,7
ielgkm,5,7,3,3,5,7,5,6,5,3
ihkkfw,5,5,3,2,7,7,6,6,6,3
iiipaj,7,5,3,3,5,5,6,6,6,5
ijutpw,7,7,2,2,7,7,6,6,6,5
ijwpwl,6,5,3,7,6,6,5,6,3,2
immutp,5,5,3,4,5,5,5,4,5,5
inrble,7,5,3,5,5,5,7,5,6,3
isfbio,7,7,3,1,7,7,7,5,3,6
iuekld,5,7,3,6,6,3,7,7,7,6
iulcbx,5,7,5,6,6,6,5,5,3,6
iyeyly,5,3,2,5,4,4,5,4,3,3
izkrfg,5,4,5,6,5,5,5,5,3,5
izuebg,4,4,1,1,4,4,1,2,2,1
jampao,7,6,6,7,6,7,7,5,7,7
jbrach,7,7,6,5,7,7,7,7,7,6
jbwutr,6,5,1,1,3,4,5,3,6,3
jcmrbl,7,4,4,4,7,6,4,1,2,7
jczprf,3,3,3,5,5,3,5,3,2,6
jekjkr,5,5,2,2,5,5,3,2,3,4
jfafyh,5,6,3,2,5,5,5,5,5,3
jfmevw,6,5,7,6,1,5,7,6,1,4
jfxtji,6,6,5,5,7,5,6,6,6,5
jgsosb,7,5,2,1,6,6,5,5,6,5
jiemlh,5,4,4,4,4,4,4,4,4,4
jitnvt,5,5,6,5,6,6,5,6,5,6
jitwvn,7,4,3,2,6,6,4,5,5,4
jizkac,6,3,2,1,5,5,5,5,6,4
jkctcb,1,5,1,2,2,2,1,1,1,3
jkwzui,6,7,6,6,6,4,7,6,3,6
jlraew,6,7,1,2,7,6,5,7,3,5
jlvvos,7,7,5,3,7,7,7,7,7,7
jmovmv,7,7,2,6,6,6,4,7,6,4
johmjz,6,6,4,5,5,5,5,6,5,2
joqxhd,4,5,1,1,7,7,1,7,7,7
jqtmgr,6,7,1,1,8,8,6,5,2,1
jtfgjz,7,7,7,2,7,7,5,5,7,7
jtvovl,7,5,3,3,7,7,7,7,7,5
jvkuwt,6,5,3,2,6,6,5,5,5,3
jwttkf,1,2,6,7,5,5,7,7,5,6
jxrmgs,5,7,2,6,3,5,3,6,5,2
jylmcz,6,5,5,6,2,5,3,2,5,2
kcoapk,7,5,7,3,2,7,7,6,6,7
kelsop,7,4,5,5,5,5,6,7,7,7
keuebd,7,4,3,4,7,6,5,6,5,5
kfgfyf,6,6,3,5,7,7,5,7,6,5
kfmihd,2,5,4,4,4,5,5,3,3,5
kfyuvh,7,5,2,2,7,7,7,6,5,7
kgpjen,7,3,3,5,2,4,6,5,5,7
khpwwg,6,6,2,3,6,6,5,4,5,3
kinsis,2,5,2,6,3,3,5,5,3,6
kkaant,6,6,5,5,5,5,6,4,5,6
kkaiak,7,7,6,5,3,5,5,5,2,5
kkdwll,6,6,4,1,6,6,3,4,4,5
klhcpt,5,3,2,3,6,6,4,4,5,2
kolnzj,7,3,2,3,7,7,3,5,4,5
kqubod,3,5,3,6,7,4,4,6,3,6
kquedi,3,1,1,5,3,3,3,1,1,5
kriixj,7,7,5,3,7,7,7,7,7,7
ksattc,3,3,2,3,3,3,3,2,2,5
ksprgd,5,1,1,7,1,7,5,6,5,5
kuuvst,5,3,3,1,4,4,5,5,6,3
kviroj,3,3,1,1,5,5,3,5,3,3
kyejec,7,7,5,4,7,7,7,4,5,6
kyilba,5,4,3,2,1,1,2,1,1,7
kyplas,4,6,2,5,7,7,6,4,5,5
kywzbb,7,7,1,6,6,6,6,3,3,7
kzbfrf,7,6,5,1,7,7,5,6,7,7
lahnku,7,5,6,5,5,5,5,7,5,3
lblktv,6,7,5,5,6,6,6,3,2,3
lbrazs,6,6,6,5,6,5,7,6,6,6
ldfzns,6,5,3,1,5,5,3,5,7,5
lefhjr,7,4,4,3,6,6,5,4,5,4
likfcf,5,6,3,3,5,5,5,5,5,2
linucm,7,5,5,7,7,7,7,7,5,7
ljlkwb,6,5,6,3,6,7,3,5,7,6
lkazjv,6,5,1,1,7,7,6,6,7,5
llthtw,7,7,3,3,7,7,4,6,6,5
lnqjif,5,7,1,2,6,6,5,4,3,5
lnvtrm,6,7,2,2,7,7,5,4,3,5
loffhd,3,3,3,3,5,5,6,3,6,3
lonxri,6,6,5,6,5,6,6,5,6,7
lugamy,5,7,6,6,5,6,6,7,6,6
luoxjz,2,4,3,4,3,4,4,4,4,4
lxuydf,6,6,6,5,5,6,6,6,7,6
lypsdr,6,6,5,5,7,7,5,6,7,7
lyugoo,7,6,6,6,7,7,5,5,6,6
maffaz,7,5,4,1,7,7,7,7,5,2
makjkx,7,5,1,1,1,1,1,2,2,7
maseso,7,7,4,2,7,7,5,6,5,7
mcvpja,6,3,2,1,4,6,3,3,7,2
mdrxzl,7,7,7,7,4,4,4,4,4,2
mdxllw,5,5,3,2,5,5,6,6,6,6
mewgwy,3,7,2,1,6,6,5,5,5,3
mfyzma,5,3,2,2,6,6,5,3,5,3
mgyuer,6,5,3,5,7,7,5,7,7,5
mhydqe,6,4,7,5,6,6,7,5,6,6
mibmyy,7,2,2,5,6,5,4,5,7,5
miqzkw,5,7,2,6,4,7,5,2,5,1
mkaznv,6,6,3,6,5,6,5,7,3,6
mmnajf,5,5,6,5,4,5,6,5,5,4
mntfas,7,3,7,7,7,7,4,3,2,7
mobeqv,6,6,3,3,5,6,4,5,6,5
moufxk,4,4,2,7,3,3,3,3,3,1
msrsyj,6,6,2,2,7,7,5,6,6,5
mswxqu,1,2,1,1,5,5,4,5,5,1
msyahr,7,7,2,3,7,7,6,5,7,5
mwjhrs,7,5,7,1,5,5,4,5,7,4
mwwquu,7,6,4,3,6,6,5,5,7,6
mxoclm,6,3,3,1,5,5,4,7,6,4
mxpeni,6,5,3,4,7,7,6,4,7,4
mycpgb,7,2,2,3,7,7,5,7,5,7
mynwqp,6,6,1,4,2,1,6,2,2,6
nbqago,3,4,2,2,3,3,2,3,2,2
ndwzox,7,3,3,3,7,7,5,3,7,7
nepdeg,6,4,2,1,2,7,5,2,6,1
nfcatx,3,4,2,2,4,4,2,3,5,2
ngclzt,4,7,4,2,3,6,7,6,6,2
ngcszp,5,6,3,6,3,6,6,6,6,3
nhgwna,6,6,6,4,7,7,6,8,6,3
niyioz,7,5,2,6,7,7,6,6,7,7
nkhnga,6,4,2,2,7,7,4,4,5,7
nmrdzl,7,5,2,3,6,7,6,6,7,3
nnjyvf,6,5,3,2,7,7,4,5,4,2
noabzv,6,7,2,1,7,7,5,4,4,3
npeuya,3,5,1,4,5,5,5,3,3,4
npqwtf,5,5,2,5,4,6,4,4,2,3
nprlrq,5,5,3,6,6,5,6,4,6,6
ntirsa,6,5,5,6,6,5,5,5,5,6
nvadex,5,2,2,2,4,4,4,3,3,3
nxffsu,6,6,2,2,6,6,6,4,1,5
nyydpn,6,6,5,6,5,5,6,5,3,5
obqagw,2,2,1,6,3,6,2,1,1,5
obzklw,7,1,1,1,7,7,7,7,1,1
ocnfbh,6,7,2,5,5,7,6,7,3,7
ocsmcv,6,5,3,2,7,7,5,6,6,3
odxdmz,7,5,3,1,7,7,6,7,7,3
oeenuw,5,3,3,2,6,6,5,5,6,3
oeodxg,3,3,3,5,5,3,5,5,5,3
oepruf,5,2,3,3,5,2,3,3,2,5
ofduuo,4,5,3,6,5,5,4,3,5,3
ogbinc,6,5,4,6,6,6,6,6,7,4
ogpkbb,5,4,2,6,6,7,5,4,7,7
ohjjbc,7,7,3,4,4,4,4,4,4,4
ohtdsa,7,6,2,4,7,7,5,7,6,2
oicuqj,7,4,2,2,6,6,6,5,5,2
okcdcz,7,7,4,5,7,7,7,7,7,5
omvped,2,6,1,6,5,7,3,5,2,5
ooobck,6,3,2,3,7,7,4,7,5,5
oqcpcn,6,5,3,3,6,6,7,5,5,2
oszidz,4,2,2,4,6,6,3,2,4,3
otlshe,2,2,1,2,3,5,5,5,6,2
oucemv,6,5,3,7,7,7,5,5,3,1
owhwro,1,3,1,1,1,1,4,2,2,2
owlofw,7,1,3,1,5,5,6,6,1,6
owxsre,5,5,6,5,5,6,5,5,6,5
ozzgqo,6,7,2,3,5,7,6,6,5,6
pakcvu,7,6,2,1,4,4,5,4,2,2
pbjdft,3,6,7,7,7,4,5,6,1,7
pcbfxq,5,6,3,4,4,6,6,4,2,4
pcblkt,7,4,4,2,6,6,6,5,6,5
pcpzeu,5,5,3,6,3,3,3,2,2,5
pdgtew,5,5,5,5,5,5,6,5,5,5
pdihhd,5,3,5,7,4,4,6,6,5,3
pegiud,7,7,7,6,1,7,7,7,7,6
pfknyq,7,6,2,5,6,7,7,3,6,7
pftskn,7,5,2,1,7,7,6,6,5,2
pgrwgl,7,7,2,1,1,1,6,1,7,1
plnrbp,7,7,4,7,5,5,5,5,5,3
plpxvv,4,5,1,1,7,7,3,5,6,2
prvulq,2,5,2,5,3,6,5,5,2,3
psemtl,7,6,2,3,7,7,5,6,5,5
pucoim,7,5,2,2,7,7,5,7,6,5
pzjeej,6,7,2,3,5,5,3,5,3,2
qbbvip,7,3,3,1,7,7,2,5,5,3
qdxyab,5,5,2,1,6,6,5,6,5,3
qdyaul,4,4,4,4,4,4,4,4,5,4
qhmimn,7,5,7,7,6,6,5,5,5,3
qhujuc,7,6,6,2,7,7,7,7,7,5
qiinwq,5,5,6,5,3,5,6,5,3,6
qjflyu,7,7,3,5,7,7,7,7,6,2
qjscpi,3,6,2,2,5,5,6,5,5,5
qjzlxm,5,5,1,3,6,6,5,4,4,2
qkvekf,6,4,3,1,7,7,6,7,5,5
qkzsvn,4,4,4,4,4,4,4,4,1,4
qmvsrn,7,5,5,2,7,7,5,4,6,3
qnctim,5,3,4,3,5,6,3,5,6,6
qpplfr,5,6,3,1,2,2,4,3,4,2
qrngsd,3,1,3,3,5,5,2,5,5,2
qryglz,5,7,3,7,3,2,5,3,6,5
qsdrzl,7,7,7,7,7,7,7,7,6,5
qtsgfe,5,6,6,6,6,6,5,5,6,5
qtuhkn,7,7,3,1,7,7,7,3,5,7
qubrsp,6,6,3,1,6,6,5,3,5,3
quwdop,7,7,7,2,7,7,7,7,7,7
qvgwrd,6,5,3,1,6,6,4,4,5,6
qwagcb,2,6,1,7,6,6,6,5,2,5
qxnykz,5,6,3,2,6,5,3,3,6,1
rbjbdd,7,7,7,7,7,6,7,7,6,7
rbzwbb,6,7,4,7,3,6,5,5,6,3
rfamlp,6,3,3,4,3,3,4,3,2,3
rhsefk,6,7,7,6,7,6,7,6,7,6
rmegzg,7,7,2,2,5,5,5,4,5,3
rmtmeq,6,4,3,1,7,7,5,6,6,5
rnlwar,6,6,3,7,5,6,6,4,4,7
rnoqzr,5,5,5,6,5,5,5,6,5,6
roixry,5,5,3,5,6,7,3,6,5,3
rpmuqf,6,5,3,2,7,7,6,5,6,7
rsjkpu,6,6,5,6,6,6,6,6,6,6
rsrysh,6,2,2,2,5,5,3,6,2,2
rsxlho,6,6,7,5,6,7,5,6,7,5
rszomf,7,7,5,3,7,7,6,7,7,5
rtzvxp,5,6,2,2,7,6,3,5,4,5
rxpdrq,6,5,3,3,7,7,6,5,7,2
rxvxto,5,4,5,4,4,4,4,4,4,4
ryexlc,7,5,1,7,3,3,2,2,1,3
rzflcc,4,7,3,6,6,5,3,6,5,7
rzlkmm,7,5,1,1,7,7,7,7,7,7
rznepb,5,6,3,2,5,6,5,5,3,7
segrpe,7,5,2,2,6,6,5,6,6,4
sewiqg,7,2,2,2,7,6,5,6,6,3
sgmacf,7,7,3,3,3,3,3,5,3,2
shhcrh,6,6,3,6,7,7,7,7,7,7
skocmv,7,6,6,5,5,7,4,6,5,6
sngzip,5,6,6,5,6,5,6,5,6,5
sotxxw,6,3,5,5,7,7,4,6,6,6
sozgfj,7,3,1,3,4,4,6,5,5,6
spuhxl,7,4,1,1,7,7,4,5,4,2
srenqc,6,3,5,3,6,6,6,6,6,3
sseaxv,6,5,1,1,7,7,5,6,6,5
ssmtvu,5,6,6,5,5,5,4,3,5,2
sszvjv,7,7,3,6,6,7,4,6,7,6
stdajy,5,7,5,6,4,7,6,5,3,3
stotbt,5,7,5,5,5,6,5,7,5,7
suxohb,5,7,6,3,5,5,5,5,5,5
svgyhi,2,3,1,4,1,1,1,1,1,1
tbbwla,6,7,5,7,6,6,7,5,3,7
tgjlqy,6,7,6,7,5,6,7,7,5,6
tgqilm,6,5,5,7,3,7,4,7,5,7
tgywtk,5,5,1,3,6,6,3,5,4,2
thucbw,6,6,7,6,5,6,6,6,6,6
tiivhu,6,5,6,5,7,6,5,7,6,7
tjuzaw,4,6,2,2,5,4,4,6,3,2
tjzafx,6,5,5,5,5,6,6,5,5,3
tmzyav,7,3,5,3,5,5,6,6,6,5
tombzc,6,7,5,2,7,7,6,6,7,3
trkkzm,6,7,2,4,6,6,5,4,5,2
tshuzf,6,7,3,5,6,6,7,5,6,3
ttejwx,7,5,6,5,1,7,6,6,7,6
ttffdn,7,5,1,1,7,7,7,7,7,5
tubyck,7,7,3,7,7,7,7,6,7,7
tvqzdl,5,7,5,5,5,5,5,5,5,5
tynosw,5,7,1,1,5,7,5,6,3,1
tztoxe,6,6,6,3,6,6,6,5,5,5
uadznz,6,5,2,7,3,3,7,3,2,7
ucubxq,4,4,2,2,3,3,4,3,3,3
udrgey,4,3,2,2,6,6,6,4,6,3
uetwjp,7,5,2,3,5,3,7,6,7,7
ueyiht,6,6,4,4,5,6,6,3,3,5
ugbnco,6,6,2,7,5,6,7,6,7,6
ugmczw,7,6,1,5,7,7,5,7,5,3
ugycvt,3,3,6,5,3,3,6,5,5,2
ujbqmu,7,6,3,1,2,7,2,2,2,2
ujdrey,6,5,5,6,4,6,5,6,5,6
ulyknk,7,3,4,3,6,6,7,6,6,3
umibms,6,4,4,4,6,7,4,4,7,3
umsdtz,5,6,3,3,6,6,6,6,6,6
unerdr,6,6,5,4,6,6,5,6,7,2
unmtkc,7,5,3,3,6,6,3,5,6,2
uoysoz,5,5,6,6,5,6,5,6,4,6
uqwabo,5,6,5,3,5,6,6,6,3,5
urrqcm,3,3,2,5,6,6,3,2,3,7
utabnn,5,3,3,3,6,5,5,6,5,5
uuoqoa,7,5,2,6,6,6,5,3,5,2
uwifys,7,7,3,2,6,6,6,2,5,2
uyemcx,3,6,5,4,4,4,6,5,6,5
uzuhka,4,5,2,6,4,4,3,3,2,2
vawlqh,7,6,3,1,6,5,5,6,7,2
vbkcff,5,5,3,2,5,6,4,5,6,3
vcqkzo,2,7,2,2,1,1,7,1,1,7
vfayzp,7,5,1,1,7,7,6,7,2,7
vfbebx,7,6,1,6,7,7,6,7,5,4
vfhtjz,3,6,2,3,2,2,2,2,2,5
vfytfc,4,6,2,2,3,4,6,5,3,5
vgaubw,7,5,2,5,7,7,5,6,6,3
vkanmo,5,5,4,4,5,5,5,5,4,4
vlhfjq,7,7,6,7,7,7,7,3,5,7
vlsjwi,7,6,3,2,6,6,6,5,6,5
vlsrdn,6,7,6,6,7,7,6,6,6,6
vlxsfm,7,6,2,3,7,7,6,6,6,2
vneqmc,5,6,2,3,5,5,5,6,2,5
vomyuu,6,5,2,7,7,7,5,4,7,3
votbul,5,4,3,6,5,5,4,4,4,2
vppnke,7,7,2,4,7,7,7,7,7,7
vtntxb,7,7,5,5,7,7,6,6,7,5
vtpeav,5,6,3,4,4,4,5,2,3,4
vvwbtv,6,5,5,3,6,6,5,5,6,6
vxahbn,7,4,3,5,3,3,4,3,3,4
vxaqln,4,7,4,5,4,4,5,4,3,3
vxlvzn,6,5,5,5,7,7,6,6,6,5
vzbgni,6,7,6,6,7,7,7,7,5,7
wajaav,5,5,2,1,5,5,3,3,5,3
waolzw,5,6,2,2,7,7,5,6,7,6
wbmpvs,6,7,6,7,6,6,7,6,7,6
wddebp,7,7,2,1,7,7,5,6,4,6
wecxjk,5,7,4,6,6,6,5,4,5,3
wfadvd,7,3,3,7,7,6,5,5,5,3
wfkplj,7,4,3,3,7,6,6,5,5,2
wfwjog,7,6,7,2,7,7,6,7,7,2
wkfvkn,6,5,4,3,3,6,6,5,5,1
wkjaar,7,6,6,6,7,7,5,5,5,7
wljeti,7,7,3,3,7,7,6,7,7,5
wlrgrf,5,7,2,5,3,6,6,5,2,7
wlvzth,6,5,3,5,6,6,3,5,6,2
wmnpcy,5,3,3,5,6,5,3,3,6,5
wmyljc,6,4,2,2,7,6,5,6,5,5
wobphn,6,6,5,4,6,7,6,6,6,5
wougvm,7,3,1,4,5,5,3,6,5,4
wpamkh,6,6,4,3,7,7,7,7,5,5
wqofxk,7,7,2,2,7,7,6,6,7,7
wtlzbo,5,5,5,7,6,6,6,2,2,5
wxbjmt,7,7,7,6,5,6,6,7,3,2
wxpzdm,7,5,3,5,5,7,5,4,7,3
wxuozh,2,2,2,2,2,2,2,2,2,2
wzwtae,6,3,3,2,3,5,2,3,5,2
xdmbin,7,4,3,5,3,3,5,5,5,6
xdquuq,7,7,5,2,7,7,7,7,7,5
xdqwmy,5,4,3,5,5,4,4,4,4,4
xinvom,5,6,2,5,7,7,5,5,6,3
xiyuzl,3,3,2,1,3,7,3,2,2,1
xkgbto,5,4,3,4,5,5,3,3,5,3
xkxpom,7,5,1,1,7,7,3,5,5,6
xmcvjq,6,3,2,1,6,6,5,6,5,5
xodpkt,7,6,7,7,7,7,5,5,7,7
xomuyv,7,7,2,3,7,7,5,5,6,5
xpykya,5,5,4,2,5,6,6,5,7,3
xqamme,7,7,7,1,7,7,7,7,7,7
xqzmlh,6,6,6,6,6,6,6,6,6,6
xrkiej,5,6,2,1,4,4,5,6,5,2
xrqruw,6,6,5,6,5,7,6,5,6,5
xtwpue,6,7,5,6,7,7,7,6,6,5
xuqoew,5,7,2,2,3,6,2,2,2,2
xvipbr,6,6,4,5,6,5,5,6,3,2
ydeetf,2,2,1,1,1,3,1,1,2,3
yedjmp,7,6,1,1,7,7,7,5,6,5
yfacmv,2,6,3,7,1,5,5,5,6,6
yfohkn,4,5,2,4,5,5,4,4,6,3
yhbeze,5,5,3,2,3,4,5,4,5,5
yhppbc,7,7,3,2,6,5,5,6,6,3
ykdppd,6,6,4,4,5,5,5,4,4,4
ylaxlk,7,5,2,1,5,5,2,3,3,2
ynjilk,5,6,2,3,7,6,5,5,5,3
ynnbid,5,5,3,5,5,5,5,5,5,5
yoliko,7,7,4,4,7,7,5,6,6,5
yonqhb,6,5,3,3,6,5,6,5,5,6
ypmizw,3,3,3,6,3,3,2,3,5,3
yrznqv,6,7,3,6,6,6,6,4,7,7
yslgol,5,5,6,5,5,5,5,6,5,6
ytuzdl,6,5,5,3,5,6,4,5,3,5
ytyhyc,5,7,5,6,5,6,6,5,5,5
yurqyj,5,2,5,6,5,5,5,5,5,3
ywrfxb,7,7,2,2,5,7,4,4,5,3
ywsros,5,5,2,5,3,6,5,5,4,2
ywyqmj,3,6,2,6,6,7,6,5,5,7
zdarzw,5,4,4,5,3,5,5,5,4,3
zdjuci,7,2,2,2,5,3,3,2,2,2
zhkvbs,6,4,2,1,4,4,3,4,5,5
zkjfum,6,7,5,6,6,3,5,5,5,6
zlxcpr,5,5,5,6,6,7,5,5,7,5
