,Participant Private ID,Spreadsheet: PlayerAction,Store: participant,Store: outcome
192,8515573.0,<em><b>Aisha</b> hides behind a nearby rock formation.,shannon,Reward
197,8515573.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,shannon,Reward
202,8515573.0,<em><b>Becky</b> opens the chest.,shannon,Reward
216,8515574.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Diane,Reward
221,8515574.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Diane,Reward
226,8515574.0,<em><b>Becky</b> tries to shoo them away.,Diane,Neutral
231,8515574.0,<em><b>Aisha</b> decides to jump over it.,Diane,Reward
236,8515574.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Diane,Neutral
241,8515574.0,<em><b>Aisha</b> opens the chest.,Diane,Reward
246,8515574.0,<em><b>Aisha</b> grabs the talisman.,Diane,Reward
251,8515574.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Diane,Neutral
256,8515574.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Diane,Reward
261,8515574.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Diane,Reward
266,8515574.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Diane,Reward
271,8515574.0,<em><b>Becky</b> opens the chest.,Diane,Reward
285,8515581.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",AD,Reward
290,8515581.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,AD,Neutral
295,8515581.0,<em><b>Becky</b> tries to shoo them away.,AD,Reward
300,8515581.0,<em><b>Aisha</b> decides to jump over it.,AD,Punish
305,8515581.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,AD,Reward
310,8515581.0,<em><b>Aisha</b> opens the chest.,AD,Reward
315,8515581.0,<em><b>Aisha</b> grabs the talisman.,AD,Reward
320,8515581.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,AD,Neutral
325,8515581.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,AD,Reward
330,8515581.0,<em><b>Aisha</b> hides behind a nearby rock formation.,AD,Neutral
335,8515581.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,AD,Reward
340,8515581.0,<em><b>Becky</b> opens the chest.,AD,Reward
354,8515587.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Cheryl,Reward
359,8515587.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Cheryl,Neutral
364,8515587.0,<em><b>Becky</b> tries to shoo them away.,Cheryl,Reward
369,8515587.0,<em><b>Aisha</b> decides to jump over it.,Cheryl,Neutral
374,8515587.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Cheryl,Reward
379,8515587.0,<em><b>Aisha</b> opens the chest.,Cheryl,Reward
385,8515587.0,<em><b>Aisha</b> grabs the talisman.,Cheryl,Reward
390,8515587.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Cheryl,Reward
395,8515587.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Cheryl,Reward
400,8515587.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Cheryl,Reward
405,8515587.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Cheryl,Reward
411,8515587.0,<em><b>Becky</b> opens the chest.,Cheryl,Reward
425,8515577.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Kay,Reward
430,8515577.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Kay,Neutral
435,8515577.0,<em><b>Becky</b> tries to shoo them away.,Kay,Punish
440,8515577.0,<em><b>Aisha</b> decides to jump over it.,Kay,Reward
445,8515577.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Kay,Reward
450,8515577.0,<em><b>Aisha</b> opens the chest.,Kay,Reward
455,8515577.0,<em><b>Aisha</b> grabs the talisman.,Kay,Neutral
460,8515577.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Kay,Punish
465,8515577.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Kay,Punish
470,8515577.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Kay,Neutral
475,8515577.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Kay,Reward
480,8515577.0,<em><b>Becky</b> opens the chest.,Kay,Reward
494,8515597.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Felmarie,Reward
499,8515597.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Felmarie,Reward
504,8515597.0,<em><b>Becky</b> tries to shoo them away.,Felmarie,Neutral
509,8515597.0,<em><b>Aisha</b> decides to jump over it.,Felmarie,Neutral
514,8515597.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Felmarie,Reward
519,8515597.0,<em><b>Aisha</b> opens the chest.,Felmarie,Reward
524,8515597.0,<em><b>Aisha</b> grabs the talisman.,Felmarie,Punish
529,8515597.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Felmarie,Neutral
534,8515597.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Felmarie,Reward
539,8515597.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Felmarie,Neutral
544,8515597.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Felmarie,Reward
549,8515597.0,<em><b>Becky</b> opens the chest.,Felmarie,Reward
563,8515575.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",stephanie,Reward
568,8515575.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,stephanie,Reward
573,8515575.0,<em><b>Becky</b> tries to shoo them away.,stephanie,Reward
578,8515575.0,<em><b>Aisha</b> decides to jump over it.,stephanie,Neutral
583,8515575.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,stephanie,Reward
588,8515575.0,<em><b>Aisha</b> opens the chest.,stephanie,Reward
593,8515575.0,<em><b>Aisha</b> grabs the talisman.,stephanie,Neutral
598,8515575.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,stephanie,Neutral
603,8515575.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,stephanie,Reward
608,8515575.0,<em><b>Aisha</b> hides behind a nearby rock formation.,stephanie,Punish
613,8515575.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,stephanie,Neutral
618,8515575.0,<em><b>Becky</b> opens the chest.,stephanie,Neutral
701,8515605.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",s,Reward
706,8515605.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,s,Neutral
711,8515605.0,<em><b>Becky</b> tries to shoo them away.,s,Punish
716,8515605.0,<em><b>Aisha</b> decides to jump over it.,s,Reward
721,8515605.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,s,Reward
726,8515605.0,<em><b>Aisha</b> opens the chest.,s,Punish
731,8515605.0,<em><b>Aisha</b> grabs the talisman.,s,Neutral
736,8515605.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,s,Neutral
741,8515605.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,s,Reward
746,8515605.0,<em><b>Aisha</b> hides behind a nearby rock formation.,s,Punish
751,8515605.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,s,Reward
756,8515605.0,<em><b>Becky</b> opens the chest.,s,Reward
770,8515604.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Angie,Reward
775,8515604.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Angie,Reward
780,8515604.0,<em><b>Becky</b> tries to shoo them away.,Angie,Neutral
785,8515604.0,<em><b>Aisha</b> decides to jump over it.,Angie,Punish
790,8515604.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Angie,Reward
795,8515604.0,<em><b>Aisha</b> opens the chest.,Angie,Reward
800,8515604.0,<em><b>Aisha</b> grabs the talisman.,Angie,Neutral
805,8515604.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Angie,Reward
810,8515604.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Angie,Punish
815,8515604.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Angie,Reward
820,8515604.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Angie,Neutral
825,8515604.0,<em><b>Becky</b> opens the chest.,Angie,Reward
839,8515606.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Barbie,Reward
844,8515606.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Barbie,Reward
849,8515606.0,<em><b>Becky</b> tries to shoo them away.,Barbie,Neutral
854,8515606.0,<em><b>Aisha</b> decides to jump over it.,Barbie,Reward
859,8515606.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Barbie,Reward
864,8515606.0,<em><b>Aisha</b> opens the chest.,Barbie,Reward
869,8515606.0,<em><b>Aisha</b> grabs the talisman.,Barbie,Reward
874,8515606.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Barbie,Neutral
879,8515606.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Barbie,Reward
884,8515606.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Barbie,Reward
889,8515606.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Barbie,Reward
894,8515606.0,<em><b>Becky</b> opens the chest.,Barbie,Reward
908,8515614.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Kelsie,Reward
913,8515614.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Kelsie,Reward
918,8515614.0,<em><b>Becky</b> tries to shoo them away.,Kelsie,Neutral
923,8515614.0,<em><b>Aisha</b> decides to jump over it.,Kelsie,Neutral
928,8515614.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Kelsie,Neutral
933,8515614.0,<em><b>Aisha</b> opens the chest.,Kelsie,Neutral
938,8515614.0,<em><b>Aisha</b> grabs the talisman.,Kelsie,Neutral
943,8515614.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Kelsie,Reward
948,8515614.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Kelsie,Reward
953,8515614.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Kelsie,Neutral
958,8515614.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Kelsie,Reward
963,8515614.0,<em><b>Becky</b> opens the chest.,Kelsie,Neutral
977,8515613.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Liv,Reward
982,8515613.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Liv,Neutral
987,8515613.0,<em><b>Becky</b> tries to shoo them away.,Liv,Punish
992,8515613.0,<em><b>Aisha</b> decides to jump over it.,Liv,Neutral
997,8515613.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Liv,Reward
1002,8515613.0,<em><b>Aisha</b> opens the chest.,Liv,Reward
1007,8515613.0,<em><b>Aisha</b> grabs the talisman.,Liv,Punish
1012,8515613.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Liv,Neutral
1017,8515613.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Liv,Reward
1022,8515613.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Liv,Neutral
1027,8515613.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Liv,Reward
1032,8515613.0,<em><b>Becky</b> opens the chest.,Liv,Reward
1046,8515593.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Michelle,Neutral
1051,8515593.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Michelle,Neutral
1056,8515593.0,<em><b>Becky</b> tries to shoo them away.,Michelle,Punish
1061,8515593.0,<em><b>Aisha</b> decides to jump over it.,Michelle,Neutral
1066,8515593.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Michelle,Reward
1071,8515593.0,<em><b>Aisha</b> opens the chest.,Michelle,Reward
1076,8515593.0,<em><b>Aisha</b> grabs the talisman.,Michelle,Punish
1081,8515593.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Michelle,Reward
1086,8515593.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Michelle,Reward
1091,8515593.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Michelle,Neutral
1096,8515593.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Michelle,Reward
1101,8515593.0,<em><b>Becky</b> opens the chest.,Michelle,Reward
1115,8515623.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Lynette,Reward
1120,8515623.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Lynette,Neutral
1126,8515623.0,<em><b>Becky</b> tries to shoo them away.,Lynette,Neutral
1133,8515623.0,<em><b>Aisha</b> decides to jump over it.,Lynette,Neutral
1138,8515623.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Lynette,Reward
1143,8515623.0,<em><b>Aisha</b> opens the chest.,Lynette,Neutral
1149,8515623.0,<em><b>Aisha</b> grabs the talisman.,Lynette,Neutral
1155,8515623.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Lynette,Reward
1160,8515623.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Lynette,Reward
1165,8515623.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Lynette,Punish
1170,8515623.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Lynette,Reward
1175,8515623.0,<em><b>Becky</b> opens the chest.,Lynette,Reward
1189,8515621.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Lisa,Reward
1194,8515621.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Lisa,Reward
1199,8515621.0,<em><b>Becky</b> tries to shoo them away.,Lisa,Neutral
1204,8515621.0,<em><b>Aisha</b> decides to jump over it.,Lisa,Reward
1209,8515621.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Lisa,Reward
1214,8515621.0,<em><b>Aisha</b> opens the chest.,Lisa,Reward
1219,8515621.0,<em><b>Aisha</b> grabs the talisman.,Lisa,Neutral
1224,8515621.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Lisa,Reward
1229,8515621.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Lisa,Reward
1234,8515621.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Lisa,Neutral
1239,8515621.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Lisa,Reward
1244,8515621.0,<em><b>Becky</b> opens the chest.,Lisa,Reward
1258,8515620.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Riva,Neutral
1263,8515620.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Riva,Reward
1268,8515620.0,<em><b>Becky</b> tries to shoo them away.,Riva,Neutral
1273,8515620.0,<em><b>Aisha</b> decides to jump over it.,Riva,Reward
1278,8515620.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Riva,Reward
1283,8515620.0,<em><b>Aisha</b> opens the chest.,Riva,Reward
1288,8515620.0,<em><b>Aisha</b> grabs the talisman.,Riva,Neutral
1293,8515620.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Riva,Neutral
1298,8515620.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Riva,Neutral
1303,8515620.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Riva,Neutral
1308,8515620.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Riva,Reward
1313,8515620.0,<em><b>Becky</b> opens the chest.,Riva,Neutral
1327,8515637.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Jenny,Reward
1332,8515637.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Jenny,Reward
1337,8515637.0,<em><b>Becky</b> tries to shoo them away.,Jenny,Punish
1342,8515637.0,<em><b>Aisha</b> decides to jump over it.,Jenny,Reward
1347,8515637.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Jenny,Neutral
1352,8515637.0,<em><b>Aisha</b> opens the chest.,Jenny,Reward
1357,8515637.0,<em><b>Aisha</b> grabs the talisman.,Jenny,Punish
1362,8515637.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Jenny,Neutral
1367,8515637.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Jenny,Reward
1372,8515637.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Jenny,Neutral
1377,8515637.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Jenny,Reward
1382,8515637.0,<em><b>Becky</b> opens the chest.,Jenny,Punish
1396,8515643.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Charlotte,Punish
1401,8515643.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Charlotte,Reward
1406,8515643.0,<em><b>Becky</b> tries to shoo them away.,Charlotte,Punish
1411,8515643.0,<em><b>Aisha</b> decides to jump over it.,Charlotte,Neutral
1416,8515643.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Charlotte,Reward
1421,8515643.0,<em><b>Aisha</b> opens the chest.,Charlotte,Punish
1426,8515643.0,<em><b>Aisha</b> grabs the talisman.,Charlotte,Reward
1431,8515643.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Charlotte,Reward
1436,8515643.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Charlotte,Punish
1441,8515643.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Charlotte,Reward
1446,8515643.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Charlotte,Reward
1451,8515643.0,<em><b>Becky</b> opens the chest.,Charlotte,Punish
1465,8515647.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Simmons,Reward
1470,8515647.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Simmons,Neutral
1475,8515647.0,<em><b>Becky</b> tries to shoo them away.,Simmons,Neutral
1480,8515647.0,<em><b>Aisha</b> decides to jump over it.,Simmons,Neutral
1485,8515647.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Simmons,Reward
1490,8515647.0,<em><b>Aisha</b> opens the chest.,Simmons,Neutral
1497,8515647.0,<em><b>Aisha</b> grabs the talisman.,Simmons,Reward
1498,8515647.0,<em><b>Aisha</b> grabs the talisman.,Simmons,Reward
1503,8515647.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Simmons,Punish
1508,8515647.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Simmons,Reward
1513,8515647.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Simmons,Neutral
1518,8515647.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Simmons,Neutral
1523,8515647.0,<em><b>Becky</b> opens the chest.,Simmons,Reward
1537,8515645.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Anastasia,Reward
1542,8515645.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Anastasia,Reward
1547,8515645.0,<em><b>Becky</b> tries to shoo them away.,Anastasia,Reward
1552,8515645.0,<em><b>Aisha</b> decides to jump over it.,Anastasia,Neutral
1557,8515645.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Anastasia,Punish
1562,8515645.0,<em><b>Aisha</b> opens the chest.,Anastasia,Punish
1567,8515645.0,<em><b>Aisha</b> grabs the talisman.,Anastasia,Punish
1572,8515645.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Anastasia,Neutral
1577,8515645.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Anastasia,Reward
1582,8515645.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Anastasia,Punish
1587,8515645.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Anastasia,Reward
1592,8515645.0,<em><b>Becky</b> opens the chest.,Anastasia,Neutral
1606,8515868.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",michelle,Reward
1611,8515868.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,michelle,Neutral
1616,8515868.0,<em><b>Becky</b> tries to shoo them away.,michelle,Neutral
1621,8515868.0,<em><b>Aisha</b> decides to jump over it.,michelle,Punish
1626,8515868.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,michelle,Punish
1631,8515868.0,<em><b>Aisha</b> opens the chest.,michelle,Reward
1636,8515868.0,<em><b>Aisha</b> grabs the talisman.,michelle,Punish
1641,8515868.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,michelle,Neutral
1646,8515868.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,michelle,Reward
1651,8515868.0,<em><b>Aisha</b> hides behind a nearby rock formation.,michelle,Reward
1656,8515868.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,michelle,Reward
1661,8515868.0,<em><b>Becky</b> opens the chest.,michelle,Neutral
