,Response,Response,Response,Response,Response,Response,Response,Response
9852777.0,Yes,"More in-depth options for punish and reward (such as punish mildly and reward mildly, punish heavily and reward heavily, etc.)",Yuxie,Yes,Yuxie seemed to take more risks during the game,A dungeon or cave of some sort,,6
9852778.0,Yes,More themed events,Jack,"Yes, they generally did.",Both easy enough to work with,Dungeon,None,5
9852779.0,Yes,NO,HAYOU,DECISIONS WAS SAME TO ME,GOOD FEEL,VERY EFFECTIVE,NO,7
9852780.0,Yes,no,Emma,Yes,Neutral,A Colloseum,No,7
9852783.0,Yes,"No, leave it as it is. ",Jack,Yes they did. ,Both were brave and unique.,Fantasy,No concerns.,7
9852784.0,Yes,"Don't watch, play instead.",Emma,There was only one choice. To persevere.,"Emma was smart, Yuxi was daring.",A colluseum,none,2
9852785.0,Yes,"No, I do not.",Jack,"Yes they did, according to their idea of what they felt was best.",I like jack more.,A colosseum,"No, I do not.",6
9852786.0,Yes,Given the situation I would say to make it more realistic or in a setting in our current time period.,It really wouldn't make a difference I liked them both equally.,Since I really don't know what there choices were I would say that they made mostly reasonable decisions given the circumstances. I was limited in how I could answer in the game so I had to base my decision partly on my limitations. ,I liked playing with them both the same amount. I'm not big on these types of games so taking that into account they both were great to play with. ,It was like a medieval quest for the two characters,No,4
9852787.0,Yes,like adding pictures with the words and slowing down how fast it goes to thenext page.,Jack,Yes,Jack seemed intellectual.,Like a cave that had a treasure chest in it.,no,5
9852788.0,Yes,I think adding the outcome of the choices next to the punish or reward options would make it better so i know what happens.,Emma,some of the time,Fine,the duo walked into a collisum ,no,7
9852791.0,Yes,Longer descriptions could use a little more time to read,Either are fine,"Sometimes yes, sometimes no",I didn't feel anything either way,Two guys going through a gauntlet type thing,No,5
9852792.0,Yes,"This was nice, perhaps hidding the Next button would allow for better focusing on the story.",Jack,"I felt they both made reasonable decisions, although it seemed like Haoyu used more force than Jack. While Jack used his mind a bit more.","They both made good decisions or had fun, I felt like Jack made more tasks with his mind than Haoyu. I liked that.","This was in a gladiators stadium, going through mazes or tunnels. Looking at treasure infested with maggots and bugs, or avoiding Zombies and Gladiators.","Thank you, no questions",7
9852793.0,Yes,no,Emma,"sometimes, other times they went past their abilities",I felt good about both players,a dungeon,no,5
9852794.0,Yes,No,Jack,yes,Both made an effort,A dungeon,no,7
9852796.0,Yes,Maybe have video showing what was going on.  AND please slow it down. It went so fast I couldn't read it all.,Yuki,Yes,I felt like Yuki really put a lot of effort into things.,seemed midevil century,Please slow down the reading.  It went way too fast. I could not keep up with the storyline,6
9852797.0,Yes,Maybe some pictures would be helpful?,Yuxi,"I think so, in most situations, they chose the decision I would have",Neutral,Mythical land,"I think the prompts went by a little quick, and I'm a fast reader!",6
9852798.0,Yes,Add pictures along with the text.,I would play with both players again.,"Yes, they did.",They were very cool!,Mideveal times,"No, I do not.",7
9852799.0,Yes,Slow down the timing of it moving onto the next screen because it went a little fast,I thought Emma did a little bit more of the heroic things and took more damage by defeating enemies.,"Yes, they were very smart and I thought they lost minimal treasure and took little damage",I wanted them both to survive so I tried to make strategic decisions to not let them get hurt but also not lose any treasure,"Seems like it was Indian Jones type adventure with puzzles, enemies to fight and treasure to find. Or like a game you would play",No,7
9852800.0,Yes,Pictures?,Yuxi,"They were risky, but that's an adventure!",I was indifferent to positive,Some land (I forget),No,5
9852801.0,Yes,,Yuxi,yes,Great work,Choose the right answers,,3
9852803.0,Yes,no,Yuxi,"For the most part, but Yuxi did better",They are both likable,Some fantasy type of world,no,6
9852809.0,Yes,The scenario worked well,Yuki,Everyone made somewhat reasonable decisions,Both players were good,Gladiator/action type game,no concerns,7
9852832.0,Yes,passs over the ro rope,haoyu,no,jack,forward attempting to force his blade through the protective plate,no all is intersting and clear.,5
9852840.0,Yes,,,,,,,6
9852845.0,Yes,NO,YUKI,MAY BE,BOTH ARE WELL PLAYED,GOOD ADVENTURE,NO,5
9852847.0,Yes,Include some graphics or illustrations to bring the game to life more.,Jack,"Yes, they both did, but Jack used intelligence more which I liked.","They were both competent, with Jack being slightly more likely to choose intellect over violence.",tournament at colosseum,No,5
