,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
8657595.0,9958E18926474662B772CE19FBF20503,Yes,Less than $12500,40,Less than $25000,male,Single,,0,laborer,high school,Never married,,assoieats,Black or African American,,43946,2,45750,43793
8657600.0,B71ADCC0C23D4A1BA97B1AF5ED2BE9D5,Yes,Less than $12500,26,Less than $25000,male,Single,,0,unemployed,college in degree,Married,,high school grauduate,American Indian or Alaskan Native,,85001,4,85001,85001
8657601.0,1CFC825143704473BE9D8266F27DD7A3,Yes,$42501-$80000,38,$40500-$55999,male,Married,,1,Security ,high school,Never married,,Bachelors,Black or African American,,20223,3,20223,20223
8657619.0,3184D37F28A541D29C006B3B80E21656,Yes,$22501-$42500,25,$40500-$55999,Male,Single,,1,EVS Attendant ,Masters degree,Never married,,Associates Degree ,Black or African American,,11411,3,11411,12701
8657622.0,C6C7C5634FB94561A8DFCE4F3357173C,Yes,Less than $12500,27,Less than $25000,male,Single,,0,unemployed,Associate degree,Divorced,,High school diploma,Black or African American,,02149,4,02149,02149
8657629.0,0BCE716913C14CAA9C18D2C72696B4CF,Yes,$42501-$80000,30,$40500-$55999,Male,Single,,0,Data Analyst,Some College,Married,,Some College,Black or African American,,10459,5,10459,30043
8657631.0,058E885234844850B66128F738A16860,Yes,$22501-$42500,50,$25000-$40499,Male,Single,,0,Customer Service Rep,Bachelors Degree,Married,,Associate Degree,Black or African American,,90250,4,79905,90250
8657651.0,870FB7B0CA73406EA65982559BC7ACB4,Yes,More than $80000,64,$25000-$40499,Male,Married,,1,Retired Military,High School,Married,,Bachelors,Black or African American,,21229,5,21229,23237
8657676.0,7DD6193BD1194ED597C09E857CA99AD2,Yes,Less than $12500,36,Less than $25000,male,Single,,0,data entry,high school diploma,Other (please specify),separated,Associate's ,Black or African American,,71763,4,72202,71763
8657694.0,CB96F731032E4076A603733891D5A44D,Yes,$42501-$80000,29,Don't know,Male,Single,,0,Yard Jockey,High School,Married,,High school,Black or African American,,21207,8,21207,21207
8657695.0,5C273CD6A4F94674868C2335F9DE8514,Yes,$22501-$42500,27,$56000-$78000,Male,Married,,3,Cop,Associate's Degree,Married,,Bachelor,White,,85035,5,85040,85044
8657698.0,BF54C94E4BC0415A956DB61507DC9550,Yes,More than $80000,37,More than $78000,Male,Married,,1,program manager,Bachelors,Married,,AA,Black or African American,,98023,6,98116,98116
8657705.0,649A79E2D01E4650AC25441CD1367F53,Yes,$22501-$42500,24,$40500-$55999,male,Single,,0,Student,Associates,Never married,,High School,Black or African American,,19132,6,19132,19131
8657722.0,E3EA6C6AADEB4A70BAA6A508E829876A,Yes,$42501-$80000,41,$25000-$40499,Male,Single,,0,I.T. Support,Masters Degree,Married,,High School,Black or African American,,78217,4,78209,78240
8657734.0,C7085107973C4DB797E32CF055F8B6BB,Yes,$42501-$80000,27,$40500-$55999,Male,Married,,1,QA Software Engineer,College,Married,,College,Black or African American,,18045,6,10460,19530
8657746.0,C8FF6D77163940139AC8A5C1CBE80F07,Yes,$22501-$42500,29,$25000-$40499,Male,Single,,1,Baker,High School,Never married,,GED,Black or African American,,04240,4,04240,04240
8657750.0,F1D9726271BC458085F975A45FBCBF98,Yes,Less than $12500,31,More than $78000,male,Single,,0,Unemployed,masters degree,Married,,bachelors degree,Black or African American,,16648,4,16602,16602
8657791.0,323BB31578764B599FF91A8CA193F63A,Yes,More than $80000,23,$40500-$55999,male,Married,,0,Real Estate Agent,High School Diploma,Married,,Masters Degree,Black or African American,,29466,4,02554,29466
8657792.0,4E5E84C5147447FABE08771F96FBD55D,Yes,$12501-$22500,36,Less than $25000,Male,Single,,0,Admin/Clerical,Bachelors,Never married,,High school diploma,Black or African American,,I dont remember,I dont know,21044,21044
8657830.0,A61FFE40647846BBA381CEF3456A9137,Yes,$42501-$80000,33,$56000-$78000,Male,Single,,1,Finance,Associates,Divorced,,Master's,Black or African American,,32205,3,32205,27517
8657840.0,A4134DD3793E40539C0789BB257E8EB1,Yes,Less than $12500,55,Less than $25000,Male,Single,,0,Management Consultant,Trade School,Never married,,MBA,Black or African American,,44320,3,44310,44310
8657842.0,9E6564E02B2D4D21A9E9B99F8E8FB6A7,Yes,$22501-$42500,27,More than $78000,Male,Married,,1,Director of Sports Perfromance,Bachelor's,Married,,Bachelor's,Black or African American,,27616,4,27616,27591
8657862.0,BA6327064D3B452BBF85E4BF8363F3FD,Yes,$22501-$42500,19,$56000-$78000,male,Single,,0,Student ,BS Degree,Never married,,Assoicate Degree,Black or African American,,63106,3,63106,63106
8657863.0,9AC33212360F47B69A8F058CDBAB7B0D,Yes,$42501-$80000,27,$40500-$55999,Male,Married,,2,Data scientist,Bachelor's degree,Married,,Bachelor's degree,Black or African American,,11959,5,10456,10454
8658002.0,A9EA054DB37D4A2B8BFB4C73CB3759C9,Yes,More than $80000,39,$56000-$78000,male,Married,,2,Senior Network Engineer,Bachelor's,Married,,Bachelor's,Black or African American,,48223,5,48223,60628
8658110.0,AE0591015B4F414C82D97CD01BE8FEB1,Yes,Less than $12500,22,More than $78000,Male,Single,,0,Student,Doctorate,Widowed,,Bachelor's,Black or African American,,21209,7,21209,19104
8658536.0,E65E2DAF06B14AC1B745E49FD141E384,Yes,$22501-$42500,35,$40500-$55999,Male,Single,,0,Employed,High School Diploma,Never married,,High School Diploma,Black or African American,,08096,5,08096,08096
8658890.0,36B83176DA574D56976600B92F7A1593,Yes,$22501-$42500,38,Less than $25000,Male,Married,,0,Photographer,Bachelor's Degree,Divorced,,Bachelor's Degree,Black or African American,,70115,5,70554,77090
8660226.0,F4DE2574B2A24AF9A421735E815D7A8B,Yes,$22501-$42500,27,$40500-$55999,male,Single,,0,online marketer,b.sc,Divorced,,masters,White,,90006,3,90006,77052
8661009.0,70673E4D17A34166A838C02CB2880DA5,Yes,$42501-$80000,31,$40500-$55999,Male,Married,,1,IT,Bachelor's,Married,,Bachelor's,Black or African American,,23666,3,23666,23666
8661056.0,2A4F79A57FDD4234A83C3F1D927F7F51,Yes,$42501-$80000,40,$56000-$78000,MALE,Married,,2,BIOMEDICAL SPECIALIST,ASSOCIATES,Married,,BACHELORS,Black or African American,,74137,5,74136,74055
8661072.0,5CC2AFA206C148919C5CAFA49031A44B,Yes,Less than $12500,32,$40500-$55999,Male,Single,,0,Freelance Illustrator,Associates ,Married,,Bachelors ,Black or African American,,10553,4,10550,10553
8661077.0,903A38F107994626B9759D777AA81C08,Yes,More than $80000,47,$56000-$78000,male,Married,,2,Attorney,DDS,Married,,JD,Black or African American,,25414,4,22601,21043
8661283.0,F3B8E51696CF41DAB16FF9C615AFD294,Yes,$42501-$80000,33,$25000-$40499,Male,Married,,1,healthcare administration,high school diploma,Married,,bachelor degree,Black or African American,,77008,5,77008,77008
8662291.0,1113E86F80E34462B9DB5D480EBCC762,Yes,More than $80000,50,Less than $25000,Male,Married,,2,Executive Sales Rep,Associate Degree,Never married,,Masters Degree,Black or African American,,30349,8,63112,37209
8662369.0,B310184571294F10BF260FA4F592E4A9,Yes,$12501-$22500,24,$25000-$40499,Male,Single,,0,Music Producer,Associate's ,Never married,,Audio Production Bachelor of Science,Black or African American,,06478,3,06478,06478
8662873.0,503FFB085DB34AE8B4A5106904998D5F,Yes,$42501-$80000,26,Don't know,Male,Married,,2,Sales Associate,Bachelors degree ,Married,,Masters' degree ,Black or African American,,10022,5,10022,10022
8662933.0,F0AA2E4C40C749488F96646A078497D4,Yes,$22501-$42500,55,More than $78000,male,Single,,0,water meter service technician,Masters Degree,Married,,"some college, no degree",Black or African American,,23803,4,23803,23803
8663036.0,866EA17107974B69A2ADB4F51A58E121,Yes,$42501-$80000,32,$40500-$55999,Male,Single,,0,Editor,Highschool Diploma,Divorced,,Highschool Diploma,Black or African American,,87121,6,87121,87121
8663048.0,BD9C6B6A2E84413CA2BAA3FED10FEDC7,Yes,$42501-$80000,32,More than $78000,male,Married,,1,Accounting,Masters ,Married,,Bachelors,Black or African American,,11552,7,10459,18252
8663169.0,3C900D978B97411CAC173E689E069783,Yes,$42501-$80000,32,More than $78000,Male,Single,,1,Self Employed,GED,Never married,,GED,Black or African American,,32114,5,27707,32114
8663302.0,7078BB7021844B8F80161C1E64B7DFFB,Yes,$42501-$80000,32,$40500-$55999,Male,Married,,2,Store Manager,BSc,Married,,Masters degree,Black or African American,,11230,4,11230,11230
8663598.0,EA0A5BE3C53A40478C6B68E08FA6C5DD,Yes,$42501-$80000,32,Don't know,Male,Married,,2,Sales Executive,Bachelor degree,Married,,masters degree,Black or African American,,11229,6,11229,11229
8663950.0,77303F1E22AB41A8959AB6A6BA9B0D9B,Yes,$42501-$80000,32,Don't know,Male,Married,,3,Sales Consultant,Bachelor degree,Married,,Masters degree,Black or African American,,92831,7,92831,92831
8664210.0,8D07D910DC7749449209F48195EFBE01,Yes,$42501-$80000,28,Don't know,male,Married,,2,Inventory Manager,bachelor degree,Married,,masters degree,Black or African American,,34953,8,34953,34953
8664562.0,2D8B4BE984C34895A1F5142BB295CD23,Yes,$42501-$80000,31,Don't know,Male,Married,,2,Sales Representative,Both earned bachelor’s degrees.,Married,,Masters degree earned.,Black or African American,,33411,4,33411,33411
8664826.0,0D860F4385DB4720B27D0A3335558203,Yes,$42501-$80000,27,Don't know,male,Married,,2,Clerk,bachelors degrees,Married,,masters degree ,Black or African American,,34787,6,34787,34787
