,Response,Response,Response,Response,Response,Response,Response,Response
8657502.0,Yes,see the game being played,jamal,deshawn was to reckless,jamal was more patient,exciting,No,6
8657505.0,Yes,Wish I had know at the beginning that I had only 14 moves and to use them wisely.,Deshawn,No,I think both played well.,mythical times,None,6
8657515.0,Yes,"I would have liked to have unlimited reward if possible , I believe that would have made it more hero type of game experience.","I would choose to play with both again , they made some decent choices throughout the game","I believe they did , based on the information I was provided during the game, they both won some fights.","I really like some of the decision spence made , but was a little dissapointed when they were crossing the bridge that he lost some items.","a medieval type of game , where they were various creatures and gladiators.","I would really be interested in knowing why 5 hurt , and 7 reward was used , and not give an equal 7 hurt, and 7 rewards to participant of the game.",6
8657534.0,Yes,Not really; I was on the edge of my chair.,Deshawn,Sure did; I rewarded them as much as I could.,Both players took on the bad guys/animals.,Unknown setting. Maybe mid-evil.,No,7
8657536.0,Yes,no,both of them were cool,yeah most of the time,they were nice,adventures going in a cave fighting monsters and getting ,no,6
8657542.0,Yes,"Could make the events more interesting, seemed too much like a generic fantasy session from a D&D game.",Deshawn.,"For the most part, yes.",I liked them both and would play with both again.,A cave.,No questions. Had fun.,6
8657544.0,Yes,"Have each adventure be tied to the previous adventures, to make our decisions more important.",Aisha,"Yes, both made somewhat decent choices",Pleasant and helpful,Time traveling,No,6
8657580.0,Yes,There could be graphics added,Deshawn or Spencer,Yes,"Indifferent, but one succesfully escaped",Mythical Chamber World area ,no,4
8657594.0,Yes,more puzzles,Jamal,Yes,Neutral ,Fantasy,,5
8657595.0,Yes,give me more choices,jamal,desawn didn't make good ones.,deshaw was to qiuck to actm jamal was smart ,it was a fantasy seting,"no, this was great",6
8657600.0,Yes,no,none,yes ,they are determined ,treasure hunt,no,5
8657601.0,Yes,No,shaw,yes,They were fun to play with,fairytale,No,4
8657619.0,Yes,No it was great ,Aisha,Of course ,No type of way ,A field,No,5
8657622.0,Yes,if it is not too much work have some music to set the mood,jamal,for the most part yes,i think they both tried their best,in a colosseum,no issues,5
8657629.0,Yes,,Both,Yes. They did the best that they could. ,They both were exciting in their own ways.,It was like a fantasy adventure setting. Almost felt like something out of a video game. ,,5
8657631.0,Yes,It would be more immersive if it had animated scenes attached to what each character is doing.,Aisha,Yes they did out of not being defeated.,Each player had its moments of defeating the enemy.,Role Playing setting from the looks of it.,No questions to be asked nor do I have any concerns.,1
8657651.0,Yes,Maybe graphics of some sort.,Jamal,"Yes. Assuming they were realistic about their skills/attributes i.e. strenght, intelligence, etc.",Both players seemed more computer generated than human,Not sure.,No questions or concerns.,4
8657676.0,Yes,They were immerse enough.,Deshawn,Deshawn made better decisions than Spencer did.,I felt both players were smart.,A magic world,No.,6
8657694.0,Yes,more options,Deshawn,yes,Both are good,Fantasy,,6
8657695.0,Yes,Add an in game chat between participants,Aisha,"Not really, some of their decisions was risky",They were warm i guess,Treasure Hunt,No there are no concern,6
8657698.0,Yes,Pictures,Deshawn,yes.,No feelings,Mideval times,no,3
8657705.0,Yes,I think it could be more immersive to give like a certain level of reward or punishment for certain actions. Like I was rewarding the characters for bravery but there was like different levels of how brave the actions were.,Deshawn could be considered to the winner on my criteria so I'd pick them,For the most part yes,Deshawn did seem to be a little braver than Becky,it was like some type of dungeon to escape from,no,7
8657722.0,Yes,No it was well written,aisha,Yes they did.,They both made some good choices,ruins,None,5
8657734.0,Yes,Maybe some imagery!,"I wouldn't choose one, they both were fine. But if I must, Deshawn ",Yes they did.,I felt they were both fine.,"Definitely an RPG like scenario, reminded me of dungeons and dragons. The colliseum is the setting",no,6
8657746.0,Yes,I think the outcomes when picking punish/reward were repetitive,I would be happy to play with both.,Some of their decisions to charge head on into a giant monster were not reasonable.,I think Deshawn put more effort into his decisions and Spencer was often repetitive.,A medieval fantasy setting,No,5
8657750.0,Yes,Allowing more time to read the text before moving on automatically.,Deshawn,I think the decisions for the most part were reasonable.,"No prefrence to either, I had a neutral feeling.",Gladitator pit,None,5
8657791.0,Yes,No,Deshawn,yes,Deshawn was better,A cave or something,no,5
8657792.0,Yes,Give more time to read before going to next screen,Deshawn,Yes,Both players had solid abilities,Colosseum,Give a little more time to be able to read the text,6
8657830.0,Yes,Video format; less time to decide will increase the tenseness going into the decisions,Deshawn - chance to come out as a victor,yes - each took risk and faced adversity and triumph ,no feelings,Fantasy - Otherworld,None,5
8657840.0,Yes,GIFs or JPEGs of D&D-type pics would have been great,Deshawn,"Becky usually made reasonable decisions, but not all were ideal.","The other player is solid, too.",Arena with challenges,Very interesting study.,6
8657842.0,Yes,No seemed fun to play because of chance,Jamal,Yes,No input,"I couldn't read it that fast, but seemed like some forest/dungeon with ghouls and dangerous threats",No,5
8657862.0,Yes,,Deshawn,Yes,Indifferent ,Fantasy,,7
8657863.0,Yes,"No, i don't",spencer,"yeah, they did",they are both very skilled players and intelligent,the setting of the adventure was a tournament in a colosseum,No,6
8658002.0,Yes,I don't.,Jamal,They did. They tried to cover each others' weaknesses.,Jamal was the most physically able. DeShawn was the smarter one.,They were exploring a cave.,no,6
8658110.0,Yes,More background for the game,Aisha,Yes,Both players worked well,It was a multiplayer adventure task in which thw two players had to advance with as little damage and as many valuables as possible.,No,2
8658536.0,Yes,I think if possible some pictures of a such scenarios would make it more immersive.,Spencer,Yes they did.,I thought both players were very smart with their decisions,The setting was two adventurers entering a collesium trying to overcome challenges to make it through and get the prize.,No,5
8658890.0,Yes,The scenarios could have had real photo to fit their names.,Jim,Yes,I felt that each one was primarily conscious basd on their decision making.,Giving points to keeping them.,No Thanks,6
8660226.0,Yes,no,deshawn,yes,good,hell,no,6
8661009.0,Yes,No,Aisha,Yes,I like both of them,In the past,No,6
8661056.0,Yes,NO,DESHAWN,YES,I THINK THEY DID BOTH DID A GOOD JOB,SEEMED LIKE THEY WERE FIGHTING MINSTERS AND SOLVING PUZZLES.,NO,7
8661072.0,Yes,None,Becky ,For the most part yes. ,Indifferent  ,A fantasy world,No,5
8661077.0,Yes,Maybe utilizing a graphic element would help,Deshawn,Yes,I held them both in equal esteem,dungeon,No,3
8661283.0,Yes,none,I would be fine witheither,I think for the most of it.,good,a colosseum,none,5
8662291.0,No,no comment,Deshaun,yes most of their decisions were reasonable decisions.,I feel like they both were good players,Like in fantasy land with different scenarios that were very interesting.,no questions or concerns,6
8662369.0,Yes,giving more details about what decisions the players can make.,Jamal,They were both fairly reasonable,Jamal thought about how to approach each situation carefully.,A colloseum with several trials,No,5
8662873.0,Yes,It should be made a little more harder.,Jamal,"Yes, they did.",They're both awesome.,The setting seems to be a dungeon.,No,6
8662933.0,Yes,"Provide a little more time before it auto-advances (or disable the auto-advance feature), background imagery to match the environment description",Becky,yes,neutral, I guess it was more of a fantasy medieval world with creatures.,no questions,6
8663036.0,Yes,"Maybe some sound production like music and sound effects, to better create the atmosphere",Jamal,"I think most of their decisions were reasonable, only two seemed unwise, putting a giant monster in a headlock and grabbing a club with your hand that someone is swinging with full force",I was hoping for the best possible outcome for both players,Dungeon,No concerns,7
8663048.0,Yes,no,Deshawn,I think they both made reasonable decisions ,I liked them both,A world with different creatures they had to fight,no,6
8663169.0,Yes,no,jamal,sometimes,they were ambitious,a collosem,no,7
8663302.0,Yes,The combat should be made more dynamic.,Dashawn,"Yes, they really did.",They’re both amazing.,The setting was a city.,"No, I don’t.",6
8663598.0,Yes,No.,Jamal,Yes.,I feel indifferent.,I think the setting is a city.,Nope,5
8663950.0,Yes,I’m not sure.,Deshawn,Yes.,Shawn seemed better.,A city.,no,5
8664210.0,Yes,"No, I do not.",Jamal,Yeah.,I feel that they are all good.,Colosseum.,No.,5
8664562.0,Yes,Not really.,Spencer.,Yes.,I like them both.,Colosseum.,No.,5
8664826.0,Yes,I don’t.,Dashawn,"Yes, they did.",I feel they did great.,Colloseum,no,5
