,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
8657324.0,942D872F32BB44BDA2F21F02F91B2471,Yes,$12501-$22500,32,$40500-$55999,male,Single,,0,self employed,bachelor's degree,Never married,,high school diploma,White,,53207,6,53207,53110
8657325.0,A1909EA5315C4F0D85E3E108C4E49836,Yes,More than $80000,38,More than $78000,Male,Married,,1,construction,PhD,Married,,PhD,White,,22314,5,22314,22030
8657326.0,B1F34FCE9F964B93B7C1BF8FBCDBC64D,Yes,$12501-$22500,30,$56000-$78000,Male,Single,,0,IT SysAdmin,Votech School Degree ,Divorced and Remarried,,High School,White,,69001,8,67748,57747
8657327.0,B2A36B9B11A04CA6A8258ECCEA9A6539,Yes,$42501-$80000,60,Less than $25000,Male,Divorced,,1,General Contractor,High School,Married,,High School,White,,32547,8,42223,71112
8657328.0,CD57318655B34A4E9DC0B034E5880259,Yes,$12501-$22500,19,More than $78000,Male,Single,,0,Barista,Assosiates Degree,Divorced and Remarried,,Some College,White,,45385,10,45385,45385
8657329.0,43EE05B1C9A14B2CA3D27C96E04674DE,Yes,$22501-$42500,27,$56000-$78000,male,Single,,0,Freelancing,B.Sc,Never married,,B.Sc,White,,90011,4,90011,90011
8657330.0,CD9179B4D76F4A108E3B6402D0251800,Yes,More than $80000,32,More than $78000,Male,Single,,0,Attorney,Juris Doctorate,Married,,Juris Doctorate,White,,67220,4,67220,80111
8657331.0,94DD3AC7172048F1863AA0AC9AFF099D,Yes,$22501-$42500,33,$56000-$78000,male,Married,,1,retail associate,High School,Divorced,,High school,White,,01760,6,01760,27502
8657332.0,347DFF6F67AB4A94AC5CAA3F965ECF6B,Yes,More than $80000,62,$56000-$78000,male,Married,,0,manager,high school,Married,,high school ,White,,18707,9,18707,18707
8657333.0,965B0E4313264F5A9A5222E31D9C17F3,Yes,$42501-$80000,40,$25000-$40499,male,Single,,2,Software Developer,High School,Divorced,,BA,White,,85730,5,85730,85730
8657334.0,D8E94E3779D04207B6EEEB71EF755046,Yes,$12501-$22500,30,$25000-$40499,Man,Single,,0,Computer Technician Supervisor,High School,Never married,,High School,White,,27614,2,27614,46060
8657335.0,574F4190651F4832972C9E78DE21BA0E,Yes,$42501-$80000,34,$40500-$55999,male,Single,,1,sales,AA,Married,,BA,White,,33184,3,33170,33174
8657336.0,DA53AA5CFB054B8F8ED5B3AE6377D81E,Yes,$42501-$80000,41,$40500-$55999,male,Single,,0,E sales Supervisor,BS,Married,,AA,White,,44134,3,44134,92407
8657337.0,AE7E03F5B8384D4788115F04000139CE,Yes,$22501-$42500,41,Less than $25000,male,Divorced,,0,self employed,high school,Married,,high school,White,,99362,4,99362,99362
8657338.0,C125B0238B624373B10CCB27621A1609,Yes,$42501-$80000,35,More than $78000,male,Single,,1,Sales Analyst,bachelors,Married,,High school,White,,80015,6,80014,80603
8657339.0,93643179E42944479ADADB99D5A3ABA9,Yes,$42501-$80000,27,$40500-$55999,Male,Married,,2,Computer programmer,college degree,Married,,College degree,White,,11510,5,11216,11901
8657340.0,150BAA0607B64DA9964A71F8C285BDEE,Yes,$42501-$80000,30,Don't know,Male,Single,,0,Self-Employed,High School,Married,,Bachelor's,White,,23030,9,23030,23831
8657341.0,D38DA1F11FF74C82A438EB25C7A0A727,Yes,$22501-$42500,40,$40500-$55999,male,Single,,0,tech,ged,Divorced,,ged,White,,71000,2,71000,71000
8657342.0,42FFCCE89DD8468ABBC4FB4D8E427A95,Yes,$42501-$80000,47,$25000-$40499,male,Single,,0,Project Manager,High School Diploma,Never married,,Bachelor's,White,,28201,4,28201,29718
8657343.0,3B6C3184A4E244F597BC4C2CB138C46C,Yes,$42501-$80000,26,$40500-$55999,male,Single,,0,Administrator,masters,Married,,Bachelors,White,,91364,4,91364,98144
8657344.0,6611897C0FDC49A4A76F45FF8C5C3F61,Yes,$42501-$80000,37,More than $78000,male,Single,,0,soda-pop brewer,Doctorate,Married,,B.S. in Architecture,White,,43082,4,43081,29910
8657345.0,DA3C3A3289614B37854E248CF69831EB,Yes,$42501-$80000,36,More than $78000,male,Married,,2,Pest Control Service Manager,AA Degree,Married,,Masters Degree,White,,92084,4,92123,92083
8657346.0,9E7674721CFE43FB93C752065AC75389,Yes,$22501-$42500,39,$40500-$55999,Male,Married,,1,Editor,Some college,Married,,Bachelor's,White,,91301,3,91360,89012
8657347.0,5751F20D33A744DAAB41F12DC4D3DA19,Yes,$42501-$80000,43,$25000-$40499,male,Single,,1,lead content developer,high school diploma,Divorced,,high school diploma,White,,40962,5,40962,40962
8657348.0,2978752BF39F4D33AFD6A5071B4262D6,Yes,Less than $12500,32,Don't know,Male,Single,,0,Lead Teacher/Program Director/Owner of remote educational program,Associate's Degree,Married,,High School Diploma,White,,98107,4,85712,98125
8657349.0,A3F55JJCVTTCCW,Yes,More than $80000,72,$56000-$78000,male,Divorced,,0,Finance VP,BA,Married,,BA,White,,01742,5,01742,34202
8657351.0,E627D1FBEBA24C82B698CA71524C8F01,Yes,$12501-$22500,37,More than $78000,Male,Single,,0,Social Media Moderation,Bachelor's,Married,,Bachelor's,White,,21050,4,21050,21030
8657353.0,2E9D47EB85B94D958A99D9C948F3E834,Yes,Less than $12500,38,More than $78000,Male,Single,,0,Property Manager,Masters Degree,Married,,Bachelor of Arts,White,,13208,4,13208,53211
8657354.0,E9E2ACF2E14745068BA0DC46691750D4,Yes,$42501-$80000,32,$40500-$55999,male,Single,,0,sales,high school,Married,,high school,White,,48066,6,48066,48458
8657355.0,EAE68CF98F144BE29A3046AA3C8BA239,Yes,More than $80000,40,More than $78000,male,Married,,0,Homemaker,Ph.D.,Married,,Ph.D.,White,,60115,3,60115,03770
8657357.0,9404FA0A816C42A8A1E9DD4FD0AD497C,Yes,Less than $12500,41,$56000-$78000,male,Single,,0,retail supervisor,High school,Never married,,High school,White,,74403,4,74403,74403
8657360.0,9DFA60556874420E81269F1CC7A4C5CF,Yes,$22501-$42500,32,$40500-$55999,Male,Single,,0,Construction,Some college,Married,,High School Diploma,White,,08087,4,07753,23231
8657362.0,F0B31CDD82B64726B0018106CB279057,Yes,$22501-$42500,31,$25000-$40499,Male,Single,,0,Computer Tech,High School,Married,,Associate,White,,89005,4,89005,89005
8657363.0,C955B6161D3344FCA960611500CBBD01,Yes,$42501-$80000,49,$25000-$40499,male,Divorced,,2,manager,hs,Divorced,,some college,White,,15129,5,idk,15129
8657374.0,05E5008060014C75A52AE193939180ED,Yes,$42501-$80000,35,More than $78000,Male,Married,,1,Sales,Barchelor,Married,,Doctorate,White,,44256,5,44256,94177
8657385.0,B5FCC55BD07F4B77A7BD5E7A9F471814,Yes,$42501-$80000,53,More than $78000,male,Other (please specify),LIving with partner,0,Operations Manager,HS diploma,Other (please specify),married and then divorced,BA,White,,06477,4,06477,06514
8657389.0,6A34428FB835496CBF86D76C61D44CB7,Yes,More than $80000,42,$40500-$55999,Male,Married,,1,Consultant,Masters,Married,,High School Diploma,White,,94611,5,94611,95648
8657393.0,6C178551CE7044848023A07BEFD03301,Yes,$42501-$80000,25,$25000-$40499,Male,Single,,0,Cashier,High-school Diploma,Married,,High-school Diploma,White,,30033,5,30033,30033
8657401.0,888D6C686D534558AD323C96BDAC72EE,Yes,$42501-$80000,35,Don't know,male,Single,,0,data services,masters,Married,,bachelor's ,White,,19087,4,19301,85032
8657433.0,FB28CA496D3F447E927A834AB1E016C2,Yes,$42501-$80000,30,$40500-$55999,male,Married,,1,technology ,bachelor's ,Married,,bachelor's ,White,,14214,3,14214,14228
8657471.0,9244E6693A284D76B7FB99B7022B53C1,Yes,More than $80000,34,More than $78000,male,Married,,1,IT,MASTERS,Married,,MASTERS,White,,89775,3,90098,90887
8657547.0,002D321B2814496DA6BDA3438A04F646,Yes,$42501-$80000,51,$56000-$78000,male,Married,,2,finance,ba,Married,,ba,White,,49341,4,49341,49341
