,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
7814339.0,1.0,2.0,1.0,7.0,6.0,4.0,3.0,2.0,1.0,1.0,7.0,6.0,7.0,4.0,4.0
7814340.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,6.0,5.0,5.0,5.0,6.0,5.0,3.0
7814341.0,1.0,4.0,1.0,5.0,3.0,3.0,5.0,1.0,1.0,1.0,6.0,5.0,6.0,1.0,1.0
7814342.0,2.0,7.0,1.0,5.0,6.0,3.0,2.0,5.0,3.0,2.0,3.0,2.0,5.0,2.0,6.0
7814345.0,2.0,5.0,1.0,2.0,6.0,6.0,6.0,3.0,3.0,1.0,5.0,6.0,5.0,5.0,4.0
7814346.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
7814349.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0,6.0,3.0,4.0,4.0,2.0
7814350.0,1.0,7.0,1.0,4.0,5.0,5.0,6.0,3.0,1.0,2.0,7.0,7.0,7.0,3.0,6.0
7814351.0,2.0,7.0,1.0,5.0,5.0,6.0,5.0,5.0,7.0,3.0,5.0,2.0,5.0,1.0,4.0
7814352.0,3.0,6.0,1.0,5.0,4.0,4.0,7.0,5.0,3.0,7.0,6.0,1.0,2.0,2.0,3.0
7814353.0,1.0,3.0,1.0,5.0,6.0,6.0,5.0,3.0,3.0,5.0,7.0,5.0,7.0,1.0,3.0
7814356.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,6.0,3.0,1.0,1.0,4.0,5.0,6.0,7.0
7814362.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,6.0,3.0,5.0,3.0,6.0
7814364.0,2.0,7.0,1.0,3.0,5.0,5.0,3.0,4.0,3.0,6.0,6.0,5.0,5.0,3.0,3.0
7814365.0,4.0,6.0,4.0,3.0,2.0,6.0,5.0,5.0,5.0,7.0,6.0,7.0,7.0,6.0,7.0
7814368.0,1.0,7.0,1.0,2.0,6.0,2.0,2.0,2.0,1.0,7.0,1.0,1.0,7.0,1.0,1.0
7814369.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,7.0,6.0,6.0,3.0,5.0
7814372.0,1.0,3.0,1.0,5.0,4.0,3.0,2.0,2.0,1.0,7.0,5.0,5.0,5.0,5.0,6.0
7814375.0,7.0,7.0,5.0,7.0,5.0,5.0,7.0,5.0,5.0,7.0,6.0,7.0,7.0,6.0,7.0
7814378.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0
7814381.0,5.0,7.0,3.0,3.0,3.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,3.0
7814384.0,2.0,5.0,1.0,6.0,2.0,6.0,4.0,5.0,3.0,1.0,3.0,3.0,5.0,5.0,7.0
7814385.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,4.0,1.0
7814387.0,1.0,6.0,1.0,3.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,7.0,7.0,4.0,7.0
7814398.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
7814400.0,2.0,4.0,2.0,3.0,6.0,4.0,5.0,4.0,2.0,5.0,6.0,4.0,5.0,4.0,5.0
7814402.0,5.0,5.0,6.0,5.0,3.0,5.0,6.0,5.0,6.0,3.0,5.0,2.0,5.0,6.0,5.0
7814403.0,2.0,7.0,1.0,3.0,3.0,6.0,4.0,4.0,4.0,2.0,2.0,7.0,7.0,4.0,7.0
7814404.0,5.0,4.0,3.0,5.0,6.0,3.0,5.0,5.0,3.0,6.0,5.0,3.0,5.0,3.0,5.0
7814405.0,5.0,6.0,6.0,5.0,6.0,3.0,6.0,3.0,2.0,6.0,3.0,6.0,3.0,6.0,6.0
7814407.0,4.0,5.0,5.0,2.0,3.0,5.0,4.0,4.0,2.0,1.0,4.0,6.0,4.0,3.0,7.0
7814408.0,1.0,3.0,1.0,1.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,3.0,5.0,2.0,3.0
7814413.0,1.0,5.0,1.0,2.0,7.0,4.0,2.0,2.0,2.0,5.0,3.0,6.0,5.0,4.0,7.0
7814414.0,1.0,6.0,2.0,4.0,7.0,6.0,2.0,3.0,1.0,7.0,2.0,7.0,5.0,2.0,6.0
7814415.0,5.0,5.0,6.0,3.0,6.0,5.0,6.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,6.0
7814416.0,6.0,6.0,2.0,4.0,6.0,5.0,4.0,3.0,1.0,1.0,1.0,7.0,6.0,5.0,7.0
7814422.0,6.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0
7814426.0,2.0,6.0,1.0,6.0,5.0,6.0,3.0,2.0,1.0,4.0,5.0,5.0,6.0,4.0,6.0
7814431.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,3.0,7.0,3.0,7.0,2.0,5.0
7814432.0,1.0,1.0,1.0,5.0,7.0,1.0,4.0,4.0,1.0,7.0,7.0,7.0,7.0,1.0,5.0
7814437.0,2.0,6.0,1.0,3.0,4.0,6.0,7.0,3.0,2.0,1.0,6.0,6.0,4.0,3.0,4.0
7814438.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0,7.0,4.0,7.0,4.0,7.0,1.0,4.0
7814441.0,6.0,4.0,5.0,6.0,5.0,7.0,5.0,6.0,3.0,5.0,6.0,5.0,6.0,7.0,6.0
7814446.0,4.0,6.0,4.0,4.0,3.0,5.0,6.0,4.0,4.0,3.0,3.0,7.0,6.0,4.0,4.0
7814447.0,1.0,6.0,1.0,6.0,1.0,5.0,6.0,1.0,5.0,1.0,1.0,6.0,6.0,2.0,5.0
7814455.0,6.0,5.0,5.0,6.0,7.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0
7814468.0,2.0,6.0,2.0,4.0,3.0,6.0,5.0,6.0,4.0,2.0,5.0,7.0,6.0,4.0,7.0
7814476.0,1.0,7.0,1.0,5.0,1.0,5.0,4.0,7.0,1.0,1.0,5.0,4.0,6.0,4.0,7.0
7814479.0,1.0,5.0,1.0,5.0,2.0,3.0,7.0,4.0,1.0,1.0,6.0,7.0,7.0,6.0,7.0
7814502.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,3.0,6.0,6.0,5.0,5.0
7814508.0,3.0,6.0,2.0,5.0,3.0,5.0,5.0,2.0,6.0,4.0,3.0,6.0,5.0,7.0,5.0
7814513.0,2.0,5.0,1.0,3.0,4.0,4.0,6.0,3.0,1.0,2.0,2.0,5.0,6.0,5.0,5.0
7814518.0,6.0,7.0,6.0,3.0,5.0,6.0,7.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0
7814533.0,3.0,3.0,3.0,4.0,7.0,7.0,2.0,1.0,1.0,7.0,1.0,6.0,4.0,3.0,6.0
7814535.0,6.0,5.0,5.0,6.0,5.0,7.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0
7814544.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,7.0,2.0,4.0,4.0,4.0,4.0
7814545.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
7814552.0,2.0,5.0,1.0,5.0,5.0,2.0,4.0,7.0,1.0,1.0,6.0,6.0,6.0,3.0,7.0
7814555.0,2.0,5.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,5.0,5.0,7.0,1.0,3.0
7814568.0,1.0,5.0,1.0,2.0,4.0,4.0,5.0,3.0,1.0,3.0,1.0,5.0,5.0,3.0,5.0
7814571.0,3.0,5.0,1.0,5.0,4.0,7.0,3.0,4.0,2.0,2.0,1.0,3.0,5.0,6.0,7.0
7814577.0,2.0,5.0,1.0,5.0,6.0,5.0,7.0,6.0,2.0,6.0,7.0,5.0,5.0,3.0,6.0
7814579.0,1.0,5.0,1.0,3.0,7.0,7.0,5.0,6.0,1.0,2.0,2.0,3.0,5.0,4.0,6.0
7814585.0,6.0,6.0,5.0,3.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0
7814587.0,2.0,6.0,1.0,7.0,7.0,7.0,3.0,2.0,5.0,5.0,7.0,6.0,7.0,6.0,7.0
7814588.0,1.0,1.0,1.0,2.0,6.0,7.0,2.0,2.0,1.0,1.0,5.0,2.0,6.0,1.0,2.0
7814598.0,5.0,7.0,2.0,3.0,7.0,7.0,5.0,6.0,3.0,1.0,1.0,7.0,7.0,3.0,7.0
7814600.0,2.0,7.0,2.0,4.0,5.0,7.0,6.0,6.0,4.0,7.0,2.0,6.0,5.0,4.0,7.0
7814620.0,5.0,5.0,5.0,7.0,7.0,5.0,7.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0
7814630.0,5.0,5.0,3.0,5.0,3.0,5.0,2.0,6.0,2.0,6.0,3.0,6.0,6.0,5.0,5.0
7814631.0,4.0,4.0,4.0,6.0,6.0,2.0,2.0,4.0,3.0,6.0,5.0,4.0,5.0,2.0,3.0
7814662.0,1.0,5.0,1.0,3.0,1.0,5.0,3.0,2.0,3.0,1.0,3.0,7.0,6.0,6.0,7.0
7814668.0,3.0,5.0,3.0,7.0,5.0,6.0,5.0,5.0,3.0,2.0,4.0,3.0,7.0,2.0,5.0
7814673.0,1.0,2.0,1.0,7.0,7.0,7.0,5.0,4.0,1.0,1.0,1.0,4.0,7.0,3.0,5.0
7814683.0,7.0,6.0,6.0,4.0,6.0,5.0,6.0,5.0,6.0,5.0,4.0,4.0,6.0,5.0,6.0
7814698.0,1.0,5.0,1.0,2.0,7.0,7.0,6.0,6.0,1.0,2.0,3.0,1.0,1.0,2.0,6.0
7814707.0,2.0,2.0,2.0,5.0,5.0,6.0,3.0,2.0,1.0,7.0,6.0,5.0,6.0,4.0,5.0
7814720.0,7.0,6.0,2.0,6.0,6.0,3.0,7.0,3.0,3.0,7.0,6.0,7.0,7.0,6.0,7.0
7814721.0,1.0,6.0,1.0,6.0,1.0,7.0,4.0,4.0,1.0,1.0,2.0,7.0,6.0,2.0,6.0
7814731.0,2.0,3.0,1.0,6.0,4.0,5.0,6.0,3.0,1.0,5.0,7.0,3.0,7.0,3.0,4.0
7814734.0,3.0,6.0,1.0,4.0,5.0,7.0,5.0,6.0,3.0,6.0,7.0,7.0,7.0,5.0,7.0
7814763.0,3.0,5.0,3.0,5.0,1.0,6.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,5.0,5.0
7814770.0,1.0,5.0,1.0,6.0,2.0,7.0,3.0,4.0,2.0,1.0,4.0,5.0,6.0,4.0,7.0
7814793.0,1.0,3.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,2.0,4.0,3.0,4.0,1.0,3.0
7814830.0,2.0,3.0,2.0,5.0,2.0,7.0,5.0,5.0,3.0,3.0,5.0,5.0,6.0,3.0,6.0
7814869.0,2.0,5.0,1.0,7.0,4.0,7.0,4.0,4.0,1.0,7.0,1.0,5.0,7.0,5.0,6.0
7814887.0,8.0,3.0,6.0,5.0,3.0,3.0,8.0,6.0,5.0,6.0,4.0,4.0,6.0,7.0,6.0
7814893.0,1.0,6.0,2.0,4.0,2.0,6.0,6.0,6.0,3.0,3.0,1.0,1.0,3.0,2.0,5.0
7814895.0,2.0,4.0,2.0,4.0,3.0,5.0,2.0,3.0,4.0,2.0,5.0,5.0,5.0,6.0,5.0
7814901.0,4.0,7.0,3.0,3.0,5.0,7.0,7.0,7.0,5.0,3.0,3.0,7.0,3.0,7.0,7.0
7814925.0,2.0,5.0,1.0,3.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,6.0,7.0,3.0,5.0
7814927.0,2.0,7.0,1.0,7.0,7.0,7.0,1.0,5.0,1.0,7.0,7.0,5.0,7.0,2.0,7.0
7814932.0,1.0,5.0,1.0,6.0,2.0,6.0,5.0,7.0,5.0,7.0,5.0,7.0,7.0,7.0,7.0
7814937.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0
7814938.0,2.0,7.0,2.0,6.0,3.0,6.0,6.0,5.0,4.0,5.0,2.0,5.0,6.0,4.0,5.0
7814945.0,5.0,1.0,5.0,5.0,6.0,1.0,6.0,7.0,1.0,6.0,7.0,6.0,5.0,2.0,4.0
7814950.0,1.0,5.0,2.0,6.0,2.0,3.0,5.0,5.0,2.0,1.0,6.0,5.0,5.0,3.0,4.0
7814956.0,2.0,7.0,2.0,2.0,1.0,6.0,6.0,2.0,1.0,1.0,1.0,3.0,7.0,5.0,5.0
7814957.0,2.0,7.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,7.0,7.0,4.0,7.0
7814960.0,1.0,4.0,1.0,1.0,7.0,1.0,4.0,7.0,1.0,4.0,7.0,1.0,4.0,1.0,4.0
7814964.0,2.0,5.0,1.0,3.0,3.0,3.0,5.0,3.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0
7814966.0,5.0,7.0,5.0,6.0,6.0,2.0,7.0,5.0,5.0,7.0,6.0,6.0,6.0,1.0,6.0
7814967.0,2.0,7.0,3.0,5.0,3.0,7.0,7.0,5.0,2.0,3.0,5.0,6.0,5.0,4.0,7.0
7814968.0,4.0,3.0,1.0,4.0,4.0,5.0,4.0,4.0,1.0,1.0,6.0,3.0,5.0,5.0,7.0
7814983.0,2.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0
7814989.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,2.0,1.0,4.0,3.0,6.0,6.0,2.0,5.0
7814996.0,1.0,4.0,1.0,7.0,7.0,3.0,2.0,7.0,1.0,7.0,7.0,4.0,7.0,1.0,1.0
7815000.0,1.0,7.0,1.0,4.0,4.0,7.0,5.0,7.0,4.0,1.0,1.0,7.0,6.0,3.0,7.0
7815005.0,2.0,6.0,1.0,3.0,4.0,5.0,7.0,7.0,2.0,2.0,3.0,7.0,4.0,6.0,7.0
7815008.0,3.0,3.0,2.0,5.0,2.0,3.0,2.0,6.0,2.0,5.0,2.0,3.0,3.0,2.0,6.0
7815011.0,1.0,5.0,1.0,6.0,2.0,6.0,5.0,5.0,3.0,2.0,4.0,6.0,7.0,3.0,6.0
7815032.0,2.0,5.0,1.0,3.0,6.0,5.0,2.0,2.0,1.0,6.0,5.0,3.0,7.0,2.0,6.0
7815066.0,2.0,6.0,2.0,5.0,6.0,6.0,2.0,3.0,1.0,6.0,6.0,5.0,6.0,5.0,6.0
7815203.0,1.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,3.0,3.0,1.0,6.0,6.0,2.0,3.0
7815271.0,2.0,7.0,3.0,6.0,4.0,6.0,4.0,5.0,4.0,2.0,3.0,1.0,5.0,2.0,3.0
7815323.0,2.0,5.0,3.0,7.0,2.0,6.0,5.0,5.0,3.0,7.0,5.0,7.0,7.0,6.0,7.0
7822519.0,3.0,3.0,2.0,5.0,6.0,1.0,5.0,3.0,3.0,7.0,6.0,5.0,6.0,2.0,5.0
7855753.0,1.0,7.0,1.0,6.0,3.0,4.0,3.0,5.0,2.0,2.0,6.0,7.0,7.0,7.0,7.0
7855755.0,2.0,5.0,1.0,6.0,5.0,3.0,2.0,3.0,1.0,1.0,7.0,7.0,6.0,2.0,5.0
7855760.0,2.0,6.0,1.0,2.0,5.0,7.0,6.0,6.0,2.0,1.0,7.0,5.0,3.0,6.0,7.0
7855765.0,5.0,6.0,2.0,7.0,1.0,6.0,5.0,3.0,1.0,7.0,5.0,6.0,6.0,6.0,6.0
7855769.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,4.0
7855774.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0,5.0,7.0,5.0,5.0,7.0
7855775.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,3.0,5.0,2.0,1.0,2.0
7855782.0,2.0,3.0,2.0,6.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,3.0,6.0
7855783.0,1.0,5.0,1.0,7.0,2.0,4.0,3.0,3.0,5.0,4.0,2.0,7.0,5.0,3.0,7.0
7855788.0,2.0,6.0,2.0,5.0,2.0,6.0,4.0,4.0,3.0,1.0,2.0,5.0,6.0,4.0,6.0
7855789.0,2.0,4.0,2.0,2.0,7.0,7.0,7.0,6.0,3.0,3.0,7.0,5.0,4.0,1.0,6.0
7855794.0,1.0,6.0,1.0,7.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0
7855799.0,3.0,5.0,1.0,5.0,2.0,5.0,3.0,3.0,1.0,1.0,1.0,7.0,6.0,3.0,7.0
7855801.0,2.0,5.0,2.0,5.0,6.0,6.0,3.0,3.0,2.0,7.0,1.0,4.0,5.0,3.0,3.0
7855804.0,1.0,6.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,1.0,3.0,5.0,3.0,3.0,3.0
7855806.0,3.0,6.0,2.0,3.0,6.0,5.0,2.0,4.0,2.0,1.0,2.0,5.0,3.0,5.0,6.0
7855807.0,1.0,6.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,2.0
7855809.0,2.0,3.0,2.0,6.0,6.0,1.0,2.0,6.0,2.0,7.0,7.0,6.0,7.0,2.0,7.0
7855812.0,1.0,5.0,1.0,2.0,5.0,5.0,4.0,3.0,2.0,1.0,1.0,7.0,5.0,5.0,7.0
7855815.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
7855816.0,1.0,6.0,1.0,3.0,2.0,7.0,2.0,5.0,1.0,2.0,1.0,6.0,5.0,2.0,6.0
7855818.0,7.0,6.0,5.0,7.0,5.0,3.0,5.0,3.0,3.0,6.0,7.0,7.0,7.0,5.0,5.0
7855819.0,1.0,4.0,1.0,5.0,2.0,4.0,6.0,5.0,2.0,3.0,4.0,6.0,7.0,5.0,7.0
7855820.0,2.0,7.0,1.0,6.0,6.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,6.0,5.0
7855823.0,3.0,4.0,3.0,6.0,7.0,5.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,2.0,4.0
7855828.0,2.0,6.0,1.0,5.0,3.0,5.0,4.0,5.0,3.0,1.0,1.0,3.0,4.0,3.0,4.0
7855840.0,7.0,7.0,7.0,6.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7855853.0,3.0,7.0,2.0,5.0,5.0,7.0,4.0,4.0,7.0,7.0,1.0,5.0,4.0,3.0,4.0
7855858.0,6.0,7.0,6.0,5.0,5.0,5.0,6.0,7.0,3.0,7.0,7.0,2.0,2.0,1.0,1.0
7855862.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,4.0,4.0
7855869.0,3.0,5.0,2.0,6.0,6.0,2.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,2.0,7.0
7855871.0,2.0,6.0,2.0,5.0,2.0,5.0,3.0,4.0,2.0,2.0,1.0,4.0,6.0,5.0,6.0
7855873.0,7.0,5.0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0
7855878.0,1.0,7.0,1.0,7.0,6.0,3.0,6.0,6.0,5.0,7.0,7.0,7.0,7.0,6.0,7.0
7855879.0,5.0,6.0,5.0,6.0,5.0,3.0,5.0,6.0,6.0,6.0,5.0,3.0,6.0,5.0,5.0
7855881.0,2.0,6.0,2.0,6.0,2.0,3.0,4.0,5.0,2.0,1.0,4.0,6.0,7.0,5.0,6.0
7855887.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,6.0,3.0
7855895.0,6.0,5.0,7.0,6.0,7.0,5.0,7.0,5.0,7.0,7.0,5.0,6.0,7.0,7.0,6.0
7855902.0,6.0,5.0,6.0,6.0,1.0,7.0,6.0,5.0,4.0,7.0,6.0,6.0,5.0,5.0,4.0
7855911.0,2.0,6.0,1.0,7.0,6.0,3.0,5.0,7.0,2.0,2.0,7.0,7.0,7.0,5.0,7.0
7855930.0,2.0,6.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,6.0,5.0,5.0,6.0
7855939.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
7855961.0,6.0,7.0,6.0,5.0,5.0,3.0,6.0,3.0,1.0,1.0,6.0,6.0,7.0,2.0,3.0
7855963.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
7855969.0,2.0,6.0,2.0,6.0,4.0,6.0,6.0,7.0,1.0,4.0,2.0,2.0,4.0,4.0,7.0
7855977.0,6.0,7.0,5.0,7.0,2.0,7.0,6.0,1.0,1.0,7.0,5.0,5.0,7.0,7.0,1.0
7855978.0,1.0,5.0,1.0,5.0,2.0,2.0,4.0,2.0,1.0,7.0,5.0,5.0,6.0,1.0,7.0
7855981.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,3.0,5.0,6.0,6.0,5.0,6.0,6.0
7856014.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,7.0,7.0
7856016.0,1.0,7.0,1.0,4.0,5.0,7.0,4.0,3.0,1.0,7.0,3.0,3.0,4.0,4.0,6.0
7856021.0,2.0,5.0,1.0,5.0,2.0,6.0,5.0,5.0,2.0,1.0,2.0,7.0,7.0,5.0,7.0
7856044.0,2.0,7.0,2.0,6.0,2.0,5.0,6.0,7.0,1.0,7.0,6.0,6.0,6.0,6.0,5.0
7856054.0,1.0,7.0,1.0,5.0,3.0,6.0,4.0,4.0,4.0,1.0,1.0,7.0,6.0,2.0,7.0
7856075.0,2.0,7.0,1.0,6.0,5.0,3.0,7.0,1.0,2.0,5.0,5.0,2.0,3.0,3.0,2.0
7856097.0,2.0,4.0,1.0,6.0,4.0,4.0,3.0,4.0,2.0,1.0,3.0,4.0,6.0,3.0,5.0
7856114.0,2.0,5.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0
7856134.0,1.0,6.0,3.0,7.0,1.0,5.0,2.0,3.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0
7856139.0,1.0,4.0,1.0,5.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,6.0,7.0,2.0,4.0
7856141.0,2.0,3.0,5.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,7.0,5.0,6.0,1.0,7.0
7856149.0,2.0,5.0,2.0,5.0,2.0,6.0,8.0,4.0,4.0,3.0,6.0,8.0,8.0,2.0,8.0
